software_name,software_url,repository_url,all_github_links,organization,repository_name,owner_repo_pattern,source
MSS - Mission Support System,https://helmholtz.software/software/mss,https://github.com/Open-MSS/MSS,['https://github.com/Open-MSS/MSS'],Open-MSS,MSS,Open-MSS/MSS,HELMHOLTZ
MTRESS,https://helmholtz.software/software/mtress,https://github.com/mtress/mtress,['https://github.com/mtress/mtress'],mtress,mtress,mtress/mtress,HELMHOLTZ
mytoken,https://helmholtz.software/software/mytoken,https://github.com/oidc-mytoken/lib,"['https://github.com/oidc-mytoken/client', 'https://github.com/oidc-mytoken/lib', 'https://github.com/oidc-mytoken/server']",oidc-mytoken,lib,oidc-mytoken/lib,HELMHOLTZ
NEST,https://helmholtz.software/software/nest,https://github.com/nest/nest-simulator,['https://github.com/nest/nest-simulator'],nest,nest-simulator,nest/nest-simulator,HELMHOLTZ
NESTML,https://helmholtz.software/software/nest-ml,https://github.com/nest/nestml,['https://github.com/nest/nestml'],nest,nestml,nest/nestml,HELMHOLTZ
nnU-Net,https://helmholtz.software/software/nnu-net,https://github.com/MIC-DKFZ/nnUNet,['https://github.com/MIC-DKFZ/nnUNet'],MIC-DKFZ,nnUNet,MIC-DKFZ/nnUNet,HELMHOLTZ
Nodejs-TCP-Server-Client,https://helmholtz.software/software/nodejs-tcp-server-client,https://github.com/Ramy-Badr-Ahmed/node-tls,"['https://github.com/Ramy-Badr-Ahmed/node-tls', 'https://github.com/Ramy-Badr-Ahmed/Nodejs-TCP-Server-Client']",Ramy-Badr-Ahmed,node-tls,Ramy-Badr-Ahmed/node-tls,HELMHOLTZ
Nodejs-TLS-Server-Client,https://helmholtz.software/software/nodejs-tls-server-client,https://github.com/Ramy-Badr-Ahmed/node-tcp,"['https://github.com/Ramy-Badr-Ahmed/node-tcp', 'https://github.com/Ramy-Badr-Ahmed/Nodejs-TLS-Server-Client']",Ramy-Badr-Ahmed,node-tcp,Ramy-Badr-Ahmed/node-tcp,HELMHOLTZ
NovaCrate,https://helmholtz.software/software/novacrate,https://github.com/kit-data-manager/NovaCrate,['https://github.com/kit-data-manager/NovaCrate'],kit-data-manager,NovaCrate,kit-data-manager/NovaCrate,HELMHOLTZ
novoSpaRc,https://helmholtz.software/software/novosparc,https://github.com/rajewsky-lab/novosparc,['https://github.com/rajewsky-lab/novosparc'],rajewsky-lab,novosparc,rajewsky-lab/novosparc,HELMHOLTZ
oemof.solph,https://helmholtz.software/software/oemof-solph,https://github.com/oemof/oemof-solph/,['https://github.com/oemof/oemof-solph/'],oemof,oemof-solph,oemof/oemof-solph,HELMHOLTZ
OFFA,https://helmholtz.software/software/offa,https://github.com/go-oidfed/offa,['https://github.com/go-oidfed/offa'],go-oidfed,offa,go-oidfed/offa,HELMHOLTZ
