text,count,percentage
uber cdk-bundle,1,0.13
ROCm,1,0.13
Miniconda,1,0.13
Ionic,1,0.13
GNU Scientific Library (GSL),1,0.13
Eigen3 library,1,0.13
Pythia,1,0.13
Danfo.js,1,0.13
ROOT,1,0.13
HepMC3,1,0.13
Kubernetes,1,0.13
Rivet,1,0.13
Angular,1,0.13
 Elastic,1,0.13
pixi,1,0.13
Kathara binary,1,0.13
Kathara lab,1,0.13
MinGW,1,0.13
Java SE Development Kit,1,0.13
clang-format,1,0.13
oneAPI,1,0.13
 RabbitMQ,1,0.13
Cookiecutter,1,0.13
git-annex,1,0.13
JSONATA,1,0.13
Deno,1,0.13
gpytorch,1,0.13
networkx,1,0.13
numba,1,0.13
MATLAB,1,0.13
mcx,1,0.13
python3-matplotlib,1,0.13
libpng-dev,1,0.13
pkg-config,1,0.13
Command Line Tools,1,0.13
ar,1,0.13
GCC,1,0.13
Perl,1,0.13
CWL,1,0.13
notebooks,1,0.13
colorednoise,1,0.13
mike,1,0.13
Material for MkDocs,1,0.13
MkDocs,1,0.13
Mypy,1,0.13
Visual Studio Code,1,0.13
torchaudio,1,0.13
dcor,1,0.13
joblib,1,0.13
ortools,1,0.13
sympy,1,0.13
pdftotext,1,0.13
openpyxl,1,0.13
FuzzyWuzzy,1,0.13
Fiji,1,0.13
fastapi,1,0.13
quasar cli,1,0.13
node version manager,1,0.13
node,1,0.13
iris,1,0.13
xarray,1,0.13
Tree-sitter,1,0.13
Flask,1,0.13
AsyncSSH,1,0.13
vantage6-client,1,0.13
mini-conda,1,0.13
SageMath,1,0.13
JuliaCall,1,0.13
openmpi,1,0.13
gcc10,1,0.13
libopenmpi-dev,1,0.13
 pylab,1,0.13
 numpy,1,0.13
 matplotlib,1,0.13
postgresql,1,0.13
libcurl4-gnutls-dev,1,0.13
apt-get,1,0.13
apache2-dev,1,0.13
Redis,1,0.13
bundler,1,0.13
RVM,1,0.13
redis-server,1,0.13
openjdk-8-jre,1,0.13
libpq-dev,1,0.13
mpi4py,1,0.13
gnupg,1,0.13
netCDF4,1,0.13
Django,1,0.13
Blender,1,0.13
OCaml,1,0.13
opam,1,0.13
ssreflect,1,0.13
coquelicot,1,0.13
ProofGeneral Emacs,1,0.13
TypeScript,1,0.13
dirmngr,1,0.13
apt-transport-https,1,0.13
sklearn,1,0.13
gribapi,1,0.13
Princess,1,0.13
CVC4,1,0.13
cvc5,1,0.13
toytree,1,0.13
orographic precipitation,1,0.13
fastscape,1,0.13
netCDF4 cdo,1,0.13
 XlsxWriter,1,0.13
 openpyxl,1,0.13
 eccodes,1,0.13
ca-certificates,1,0.13
 f90nml,1,0.13
 pip,1,0.13
 dreq,1,0.13
cmor-3.8.0,1,0.13
Fortran compiler,1,0.13
Lapack,1,0.13
libnginx-mod-http-passenger,1,0.13
Nginx,1,0.13
Passenger,1,0.13
Stanza,1,0.13
xlsxwriter,1,0.13
OpenMPI,1,0.13
 Packer,1,0.13
pingouin,1,0.13
Nunaliit,1,0.13
brew,1,0.13
python3-dev,1,0.13
python3-venv,1,0.13
audio toolbox,1,0.13
signal processing toolbox,1,0.13
MOSEK,1,0.13
CVX,1,0.13
Virtualbox,1,0.13
Spacy,1,0.13
 Vagrant,1,0.13
VirtualBox,1,0.13
micromamba,1,0.13
python3-gdal,1,0.13
gdal-bin,1,0.13
gdal,1,0.13
Docker Desktop,1,0.13
GeoTIFF.js,1,0.13
MapLibre GL JS,1,0.13
prolog,1,0.13
nltk stopwords,1,0.13
 TypeScript,1,0.13
pyenv,1,0.13
Numba,1,0.13
openvpn,1,0.13
Rosetta 2,1,0.13
Orange,1,0.13
Orange3,1,0.13
Docusaurus,1,0.13
pre-commit,1,0.13
pytype,1,0.13
black,1,0.13
ladle,1,0.13
Erlang,1,0.13
