text,count,percentage
"@inproceedings{bilgin2018utilizing, title={Utilizing a Transparency-driven Environment toward Trusted Automatic Genre Classification: A Case Study in Journalism History}, author={Bilgin, Aysenur and Tjong Kim Sang, Erik and Smeenk, Kim and Hollink, Laura and van Ossenbruggen, Jacco and Harbers, Frank and Broersma, Marcel}, booktitle={2018 IEEE 14th International Conference on e-Science (e-Science)}, pages={486--496}, year={2018}, organization={IEEE} }\n",1,25.0
"@inproceedings{smeenk2019dh, author = ""Kim Smeenk and Aysenur Bilgin and Tom Klaver and Erik Tjong Kim Sang and Laura Hollink and Jacco van Ossenbruggen and Frank Harbers and Marcel Broersma"", title = ""{Grounding Paradigmatic Shifts In Newspaper Reporting In Big Data. Analysing Journalism History By Using Transparent Automatic Genre Classification}"", booktitle = ""{Digital Humanities Conference 2019 (DH2019)}"", publisher = ""{Utrecht, The Netherlands}"", year = ""2019"" }",1,25.0
"@inproceedings{klaver2019ictopen, author = ""Tom Klaver and Erik Tjong Kim Sang and Aysenur Bilgin and Kim Smeenk and Laura Hollink and Jacco van Ossenbruggen and Frank Harbers and Marcel Broersma"", title = ""{Introducing a transparency-driven platform forcreating, comparing and explaining machinelearning pipelines}"", booktitle = ""{ICT-Open}"", publisher = ""{Hilversum, The Netherlands}"", year = ""2019"", note = ""(demo presentation abstract)"" }",1,25.0
"@inproceedings{zhang2019raven, title={RAVEN: A Dataset for Relational and Analogical Visual rEasoNing}, author={Zhang, Chi and Gao, Feng and Jia, Baoxiong and Zhu, Yixin and Zhu, Song-Chun}, booktitle={Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition (CVPR)}, year={2019} }",1,25.0
